,Year,Mean,StD
0,1960,4.5,2.390281300803254
1,1961,4.9,1.582216475188833
2,1962,5.5,1.1912609135292587
3,1963,4.9,1.204944407697312
4,1964,4.6,1.5104189434111928
5,1965,5.0,1.5079250353011293
6,1966,4.3,1.6998600998242057
7,1967,4.3,1.5186356658903692
8,1968,4.5,1.4923999773209904
9,1969,4.7,0.6966559735296507
10,1970,4.2,1.5916097379606016
11,1971,3.9,1.532071582313742
12,1972,4.3,1.1803333323101228
13,1973,3.9,1.5649861397619658
14,1974,3.9,1.363782362891284
15,1975,4.0,1.4326988427530658
16,1976,4.1,1.7760910261958234
17,1977,3.5,1.04041770457831
18,1978,4.0,1.1176394538123413
19,1979,4.6,1.0359580081784179
20,1980,4.9,0.9623166492030227
21,1981,5.0,1.1396822633417008
22,1982,4.8,1.1427773833005497
23,1983,5.0,1.237723364481792
24,1984,5.0,1.2057297072661546
25,1985,4.9,1.1626009146304277
26,1986,5.0,1.0891627511880393
27,1987,5.0,1.0157395240054317
28,1988,5.0,1.2162329624901715
29,1989,5.2,1.1109522108600418
30,1990,5.3,1.1151155808348703
31,1991,5.2,1.169519778411966
32,1992,4.9,1.2970751712988724
33,1993,5.1,1.135470382046906
34,1994,5.4,0.9779128523534342
35,1995,5.4,1.0990261624488864
36,1996,5.1,0.853608977395577
37,1997,5.2,0.97346073698512
38,1998,5.3,1.6600090037325455
39,1999,5.2,1.1167892152328946
40,2000,5.2,1.3491995712517677
41,2001,5.2,0.8727190960954476
42,2002,5.3,0.9565887287480143
43,2003,5.2,1.1074438382323093
44,2004,5.6,1.4041996669083263
45,2005,5.3,1.1974411592091994
46,2006,5.4,1.2639533713709536
47,2007,5.5,1.2497201959566064
48,2008,5.7,1.0155754764600693
49,2009,5.6,1.5924803133436523
50,2010,5.7,1.094024827223151
51,2011,5.9,1.3154999456297487
52,2012,5.9,0.9754758970914923
53,2013,5.9,1.2974480033208733
54,2014,6.1,1.0525416568449628
55,2015,6.3,0.9430962772884295
56,2016,6.2,1.070271423303561
57,2017,5.9,1.1578870059502298
58,2018,6.3,1.1230314426640606
59,2019,6.2,1.122475976824621
60,2020,6.4,1.2689423240828321
61,2021,6.1,1.072538843069319
62,2022,5.9,0.9755925743936968
63,2023,5.8,1.1150871347934288
